ProjectDWID,ProjectID,ProjectName,ProgramGroup,StartDate,ProjectedCompletionDate,Counted Rental Units,Counted Homeownership Units,All Counted Units,TotalProjectUnits,CommercialSquareFootage,BorrowerLegalEntityName,GeneralContractorName,IsDavisBacon,IsSection220NYSLaborLaw
19048,51056,"445 BALTIC STREET, 190 BUTLER STREET, BROOKLYN",Sandy Program,04/29/2016,12/28/2017,0,0,,9,0,Horizon Construction,Horizon Construction,No,No
18806,51064,"1726 MERMAID AVENUE, BROOKLYN",Sandy Program,11/22/2016,07/14/2017,0,0,,7,820,"EMPIREHD, INC.",EMPIREHD,No,No
18716,51065,"119-08 ROCKAWAY BEACH BOULEVARD, QUEENS",Sandy Program,07/19/2016,12/31/2016,0,0,,6,0,EMPIREHD INC,EMPIREHD INC,No,No
19036,51067,"412 EAST 10 STREET, MANHATTAN",Sandy Program,06/21/2016,09/23/2019,0,0,,24,0,HORIZON CONSTRUCTION INC,Horizon Construction,Yes,No
19049,51104,456 Washington Street,Multifamily Incentives Program,06/26/2014,10/07/2016,22,0,22,107,0,Bridge Land West LLC,Monadnock Construction,No,No
19170,51123,BAM Cultural District North Site Tower II,Multifamily Finance Program,05/07/2015,03/20/2018,50,0,50,123,2803,ROSE BCD A LLC,Lettire Construction,No,No
19310,51143,Edward Dozier HDFC,Multifamily Finance Program,06/24/2015,07/14/2017,58,0,58,58,600,EDWARD DOZIER SR HOUSING,R and S Construction Corp.,No,No
19459,51150,Park Avenue Thorpe,Multifamily Finance Program,06/30/2014,03/15/2017,20,0,20,20,0,Park Avenue Thorpe Housing Development Fund Corporation,R and S Construction Corp.,No,No
19142,51168,"91-16 SHORE FRONT PARKWAY, QUEENS, NY",Sandy Program,10/21/2016,07/24/2017,0,0,,43,0,EMPIREHD,EMPIREHD,Yes,No
19229,51175,BROOK 156,Multifamily Finance Program,10/01/2020,,52,0,52,52,0,BROOK 156 ASSOCIATES L.P.,Mountco Construction,No,No
19461,51177,Edgecombe Preservation Reyndication (Phase),Multifamily Finance Program,06/27/2014,03/01/2016,254,0,254,254,6084,Edgecombe Preservation LLC,L & M Builders,No,No
19479,51179,"QUINCY SENIOR RESIDENCES, L.P.",Multifamily Finance Program,12/23/2014,,94,0,94,94,0,"Quincy Senior Residences, L.P.","Two Brothers Construction, LLC",No,No
18908,51248,270 Convent Ave HDFC,Multifamily Finance Program,06/29/2015,06/06/2021,60,0,60,60,0,270 Convent Avenue HDFC,"Shamas Contracting Co., Inc.",No,No
18859,51249,2120 Mapes Avenue HDFC,Multifamily Finance Program,05/30/2014,06/13/2017,0,29,29,29,0,2120 Mapes Avenue HDFC,"Shamas Contracting Co., Inc.",No,No
19427,51252,Mount Sharon HDFC,Multifamily Finance Program,06/26/2014,05/13/2016,106,0,106,106,0,Mount Sharon LLC,FG-PH Corporation,No,No
19948,51260,OCEAN VILLAGE - SANDY RECOVERY,Sandy Program,06/19/2017,,0,0,,1093,33640,"STEVEN DUBNER LANDSCAPING, INC.","STEVEN DUBNER LANDSCAPING, INC.",Yes,No
20005,51261,RIVERBEND COOP. - RESILIENCY + REPAIR,Sandy Program,12/22/2016,09/27/2018,0,0,,625,4500,AM&G WATERPROOFING LLC,AM&G WATERPROOFING LLC,Yes,No
19911,51271,BRIGHTON HOUSES COOP,Sandy Program,12/28/2016,,0,0,,193,0,BRIGHTON HOUSE INC.,ALL-CON CONTRACTING CORP.,Yes,No
20298,51274,HAVEN PLAZA - SANDY RECOVERY,Sandy Program,12/28/2016,,0,0,,372,4888,HAVEN PLAZA SQUARE LLC,"ICS BUILDERS, INC.",Yes,No
19956,51278,ARCHER AVENUE,Multifamily Finance Program,12/22/2014,03/06/2018,89,0,89,89,7234,Archer Merrick Limited Partnership,Chateau GC LLC,No,No
20021,51299,GATEWAY ELTON III,Multifamily Finance Program,06/27/2014,11/25/2016,287,0,287,287,19069,Elton Owner III LLC,Ashford Locke Builders LLC,No,No
19954,51300,OCEAN PARK - SANDY RECOVERY,Sandy Program,10/27/2017,,0,0,,602,0,SNS ORGANIZATION DBA PLATINUM ENERGY GROUP,SNS ORGANIZATION DBA PLATINUM ENERGY GROUP,Yes,No
19929,51301,BRKG GND. 626 BERGEN AVE. LA CENTRAL,Multifamily Finance Program,06/29/2017,06/18/2019,161,0,161,161,0,"LA CENTRAL SUPPORTIVE, LP",MONADNOCK CONSTRUCTION,Yes,No
20236,51302,LA CENTRAL/BRONXCHESTER - BUILDINGS A & B,Multifamily Finance Program,12/28/2017,,496,0,496,496,32023,LA CENTRAL OWNER LLC,Mountco Construction,No,No
19908,51314,"2626 EAST 26 STREET, BROOKLYN",Sandy Program,12/17/2015,05/11/2016,0,0,,18,0,"EMPIREHD, INC.",EMPIREHD INC,Yes,No
19891,51317,"3024 WEST 23 STREET, BROOKLYN",Sandy Program,06/23/2017,01/22/2019,0,0,,10,0,EMPIREHD,EMPIREHD,Yes,No
20050,51319,"2800 EAST 29 STREET, BROOKLYN",Sandy Program,12/11/2015,05/09/2016,0,0,,18,0,HORIZON CONSTRUCTION INC.,Horizon Construction,Yes,No
20091,51320,"214 BAY 44 STREET, BROOKLYN",Sandy Program,08/20/2015,12/02/2015,0,0,,18,2781,EMPIREHD INC,EMPIREHD INC,Yes,No
20295,51357,PS 186 AKA BGCH (BOYS AND GIRLS CLUB OF HARLEM),Multifamily Finance Program,07/09/2014,11/16/2016,79,0,79,79,0,FS 140th Street Housing Development Fund Corporation,Monadnock Construction,No,No
20135,51378,Stammtisch - Troutman,Multifamily Finance Program,06/23/2016,04/29/2021,6,0,6,6,0,Sunset 203k HDFC,BRISA BUILDERS CORP,No,No
19916,51380,"151-44 80 STREET, QUEENS",Sandy Program,03/23/2016,07/11/2016,0,0,,9,0,EMPIREHD INC,EMPIREHD INC,Yes,No
19923,51382,"129 BEACH 118 STREET, QUEENS",Sandy Program,01/20/2017,06/08/2017,0,0,,68,0,EMPIREHD,EMPIREHD,Yes,No
20053,51384,236-238 EAST 7TH STREET,Sandy Program,10/20/2016,01/16/2018,0,0,,50,800,GEM MECHANICAL LLC,GEM MECHANICAL LLC,Yes,No
19965,51396,"RIVERBEND HOUSING COMPANY, INC.",Multifamily Finance Program,06/24/2015,01/09/2018,0,625,625,625,49322,RIVERBEND HOUSING CO INC,FUTURA BUILDERS GROUP INC,No,No
20024,51405,5-19 BORDEN AVENUE - SANDY RECOVERY,Sandy Program,11/09/2016,04/19/2019,0,0,,76,0,MARATHON ENERGY CORPORATION,MARATHON ENERGY CORPORATION,Yes,No
20029,51424,463 WEST STREET,Sandy Program,06/05/2017,,0,0,,384,16477,SKYLINE RESTORATION INC.,SKYLINE RESTORATION INC.,Yes,No
19987,51425,130 BEACH 92 STREET,Sandy Program,12/16/2016,07/31/2017,0,0,,20,0,EMPIREHD,EMPIREHD,Yes,No
20023,51463,628 East 9 Street - Sandy Recovery,Sandy Program,06/23/2016,10/04/2016,0,0,,15,0,EMPIREHD INC,EMPIREHD INC,Yes,No
20077,51481,614 EAST 9 STREET - SANDY RECOVERY,Sandy Program,07/15/2016,10/05/2016,0,0,,32,0,EMPIREHD INC,EMPIREHD INC,Yes,No
20089,51485,24 PENNYFIELD AVENUE - SANDY RECOVERY,Sandy Program,07/26/2016,03/07/2017,0,0,,15,0,Tip Top General Contracting Corp.,Tip Top General Contracting Corp.,Yes,No
19980,51522,2504 EAST 14 STREET - SANDY RECOVERY,Sandy Program,09/02/2015,07/06/2016,0,0,,6,0,Tip Top General Contracting Corp.,Tip Top General Contracting Corp.,No,No
20293,51529,17 AVE D,Sandy Program,05/14/2015,02/25/2016,0,0,,2,692,"EMPIREHD, INC.",EMPIREHD INC,No,No
20195,51561,"1259, 1265, 1269 COLLEGE AVE REHAB",Multifamily Finance Program,03/03/2014,08/03/2016,0,0,,63,0,East 169th Street Associates LLC,"EMCO Plumbing Services, LLC",No,No
19984,51565,"Mutual Redevelopment Houses, Inc. II (Penn South)",Multifamily Finance Program,09/16/2014,03/10/2017,0,0,,2820,0,"Mutual Redevelopment Houses, Inc.",Empire Control Abatement Inc.,No,No
20265,51581,590 Five Corp.,Multifamily Finance Program,06/22/2016,02/04/2020,79,0,79,79,0,590 FIVE CORP,QUIXOTIC SYSTEMS INC,No,No
19887,51582,425 GRAND CONCOURSE,Multifamily Finance Program,12/20/2019,,277,0,277,277,12122,TRINITY MID BRONX RESIDENTIAL LIMITED PARTNERSHIP,"MONADNOCK CONSTRUCTION, INC.",No,No
19909,51590,226 West 113th Street HDFC,Multifamily Finance Program,06/25/2014,03/13/2017,1,17,18,18,0,226 West 113th Street HDFC,Avante Contracting Corp.,No,No
20264,51607,261 Hudson Street,Multifamily Incentives Program,06/26/2014,08/29/2017,41,0,41,201,8067,Bridge Land Hudson LLC,Related Construction LLC,No,No
19900,51617,KNICKERBOCKER VILLAGE - PHASE II,Sandy Program,07/27/2017,10/29/2021,0,0,,1590,15985,"KNICKERBOCKER VILLAGE, INC.",AM&G WATERPROOFING LLC,Yes,No
20221,51652,Praxis. 2270 Loring Place North,Multifamily Finance Program,06/19/2015,06/02/2017,66,0,66,66,0,LORING PLACE NORTH LP,"Mega Contracting, Inc.",Yes,No
19959,51666,Oceanwoods Condo Development,Sandy Program,03/27/2015,05/09/2018,0,0,,100,0,Oceanwoods Condominiums,Prisma Construction Inc,Yes,No
20011,51680,33 BEACON PLACE STATEN ISLAND,Sandy Program,12/23/2014,04/20/2017,0,0,,7,0,"The Home Factory, LLC","Dunrite NY Enterprises, Inc",No,No
20034,51719,The Pavilion at Locust Manor,Multifamily Finance Program,06/25/2015,06/27/2018,85,0,85,85,0,PALM TRITON LLC,D & F CONSTRUCTION GROUP INC,No,No
20143,51726,2955 BRIGHTON 7TH ST,Sandy Program,04/13/2016,12/22/2016,0,0,,8,3573,A A D CONSTRUCTION CORP,A A D CONSTRUCTION CORP,Yes,No
20093,51751,Rose Ellen Smith MBD HDFC,Multifamily Finance Program,06/23/2015,05/31/2016,47,0,47,47,599,ROSE ELLEN SMITH MBD LP,FG-PH Corporation,No,No
19892,51778,PARK HOUSE,Multifamily Finance Program,12/31/2014,08/31/2018,248,0,248,248,0,Webster Avenue Affordable LLC,Mountco Construction,No,No
20110,51779,9306 Shore Front Parkway,Multifamily Finance Program,12/18/2014,03/23/2017,64,0,64,64,0,Castle HIll Equities LLC,Universal Contracting of NY Corp,No,No
20155,51812,"2447-9 East 28th Street, Brooklyn",Sandy Program,07/13/2016,09/21/2016,0,0,,6,0,Tip Top General Contracting Corp.,Tip Top General Contracting Corp.,No,No
20303,51867,THE ROBESON,Multifamily Finance Program,06/29/2018,,79,0,79,79,7498,"407 LENOX AVENUE, LLC",DP GROUP GENERAL CONTRACTORS,No,No
20220,51868,LEXINGTON GARDENS II,Multifamily Finance Program,06/29/2017,02/11/2022,400,0,400,400,3842,LEXINGTON GARDENS OWNERS LLC,L&M GROUP BUILDERS LLC,No,No
19991,51939,2517 EAST 13 STREET,Sandy Program,07/29/2016,08/24/2018,0,0,,9,0,Horizon Construction,Horizon Construction,Yes,No
20333,51950,HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,02/23/2017,,0,20,20,20,0,HABITAT FOR HUMANITY HOUSING,HFH NYC GC LLC,No,No
20146,51990,"2820 WEST 35 STREET, BROOKLYN",Sandy Program,04/30/2015,11/18/2015,0,0,,5,0,Tip Top General Contracting Corp.,Tip Top General Contracting Corp.,No,No
20047,52000,34-37 Realty Ltd.,Multifamily Finance Program,06/17/2015,07/20/2017,46,0,46,46,5320,34-37 REALTY LTD,CDC Development Corporation,No,No
19968,52021,829 Southern Blvd. HDFC,Multifamily Finance Program,06/30/2014,04/18/2016,1,48,49,49,0,829 Southern Boulevard HDFC,"Shamas Contracting Co., Inc.",No,No
20194,52022,3279 HULL AVE. HDFC,Multifamily Finance Program,06/30/2014,02/29/2016,0,51,51,51,0,3279 Hull Avenue HDFC,Heat Inc,No,No
19964,52056,2015 Monterey Avenue LLC aka PRC Monterey,Multifamily Finance Program,06/27/2014,06/27/2014,159,0,159,330,2622,2015 Monterey LLC,MELCARA CORPORATION,No,No
21289,52083,Essex Crossing - Site 5,Multifamily Finance Program,06/30/2015,07/31/2018,104,0,104,211,73632,SITE 5 DSA OWNER LLC,ESSEX CROSSING BUILDERS LLC,No,No
21349,52119,EXCELSIOR II,Multifamily Finance Program,11/25/2015,02/14/2019,60,0,60,60,0,EXCEL NELSON LP,L RISO & SONS CO INC,No,No
21316,52122,Essex Crossing - Site 2,Multifamily Finance Program,06/30/2015,12/27/2018,98,0,98,195,189682,SITE 2 DSA OWNER LLC,T.G Nicket & Associates,No,No
21275,52147,VILLAGE EAST,Sandy Program,12/29/2016,,0,0,0,434,15778,ELECTRICAL CONTRACTING SOLUTIONS CORP,ELECTRICAL CONTRACTING SOLUTIONS CORP,Yes,No
21116,52202,ARVERNE 353 BEACH 57TH ST - REPAIR,Sandy Program,12/28/2016,04/22/2021,0,0,,342,1050,SKYLINE RESTORATION INC.,SKYLINE RESTORATION INC.,Yes,No
21089,52223,JERICHO. 2065 WALTON AVENUE,Multifamily Finance Program,06/03/2015,06/05/2018,90,0,90,90,0,2065 WALTON AVENUE ASSOCIATES LLC,GKC INDUSTRIES INC,Yes,No
21318,52349,Friends House (8A),Multifamily Finance Program,09/16/2014,09/16/2014,0,0,,50,0,"Rosehill Friends, L.P.",NO GENERAL CONTRACTOR,No,No
21215,52396,Tremont Renaissance,Multifamily Finance Program,12/22/2015,05/21/2021,256,0,256,256,39779,Tremont Renaissance LLC,Joy Construction Corp.,No,No
21127,52405,Triataros Corp.,Multifamily Finance Program,09/18/2015,04/12/2018,20,0,20,20,0,Triataros Corporation,"Shamas Contracting Co., Inc.",No,No
21279,52415,UPS. 1060 Rev. James Polite Ave,Multifamily Finance Program,11/24/2015,11/27/2017,69,0,69,69,0,LYNNS PLACE HOUSING DEVELOPMENT,Procida Construction,Yes,No
21367,52435,Essex Crossing - Site 6,Multifamily Finance Program,12/08/2015,10/25/2017,100,0,100,100,6069,SITE 6 DSA OWNER LLC,DELANCEY BUILDERS LLC,No,No
21210,52461,92 St. Nicholas Avenue HDFC,Multifamily Finance Program,07/01/2016,,13,43,56,56,0,92 ST NICHOLAS AVENUE HOUSING,Akhtar Construction Corp.,No,No
21030,52467,FORD BEDFORD. 2848 BAINBRIDGE AVE.SERVIAM HEIGHTS,Multifamily Finance Program,12/29/2015,06/13/2018,197,0,197,197,0,SERVIAM HEIGHTS LLC,CHEEVER DEVELOPMENT CORP,Yes,No
21105,52539,COUNTEE CULLEN 2,Multifamily Finance Program,12/19/2016,04/04/2018,0,0,,2,0,ECUMENICAL COMMUNITY DEVELOPMENT,CC TECHNICAL CONTRACTING CORP,No,No
21399,52597,HELP. 984 Woodycrest Avenue,Multifamily Finance Program,11/17/2015,01/11/2018,48,0,48,48,0,HELP WOODYCREST HOUSING DEVELOPMENT,A A D CONSTRUCTION CORP,Yes,No
21411,52610,Crossroads Plaza I,Multifamily Finance Program,12/19/2014,08/16/2018,163,0,163,163,16039,Crossroads I Owner LLC,New Cassel Construction,No,No
21328,52646,Common Ground.411 East 178th St. Webster Ave.,Multifamily Finance Program,11/18/2015,07/20/2018,171,0,171,171,2635,WEBSTER AVENUE SUPPORTIVE LLC,"Mega Contracting, Inc.",Yes,No
21350,52656,Affordable & Supportive Family Housing at Van Dyke,Multifamily Finance Program,06/30/2015,07/26/2017,101,0,101,101,0,CHV 603 MOTHER GASTON BLVD LP,Bruno Frustaci Contracting Inc,Yes,No
21401,52661,3160 Park Avenue (Mixed Income),Multifamily Finance Program,12/31/2014,12/15/2016,57,0,57,152,21442,Trinity Park Ave Mixed Use MT LLC,"Mega Contracting, Inc.",No,No
21069,52662,Longfellow Avenue,Multifamily Finance Program,10/14/2015,11/22/2017,149,0,149,149,1843,LONGFELLOW OWNERS LLC,A A D CONSTRUCTION CORP,No,No
21129,52665,907 Driggs Avenue,Multifamily Finance Program,04/22/2015,08/27/2019,21,0,21,21,0,Los Sures 907 Driggs Avenue HDFC,"Atlas Builders, LLC",No,No
21284,52666,STRIVERS PLAZA,Multifamily Finance Program,12/18/2014,04/19/2017,54,0,54,54,12268,Frederick Douglass Realty LLC,REAL BUILDERS INC,No,No
21161,52667,Summit Ridge,Multifamily Finance Program,12/18/2014,03/31/2017,58,0,58,58,0,950 Summit Avenue LLC,Summit JV LLC,No,No
21391,52674,Genesis Year 15 Resyndication,Multifamily Finance Program,06/25/2015,07/30/2018,358,0,358,358,4054,GENESIS Y15 OWNERS LLC,"Notias Construction, Inc.",No,No
21301,52693,"162-164 EAST 104 STREET, MANHATTAN",Sandy Program,09/30/2016,12/14/2016,0,0,,15,0,EMPIREHD,EMPIREHD,Yes,No
21207,52701,YWCA OF BROOKLYN (LOAN II),Multifamily Finance Program,01/29/2016,06/24/2020,215,0,215,215,1750,YOUNG WOMENS CHRISTIAN ASSOCIATION,NO GENERAL CONTRACTOR,No,No
21389,52721,Morrisania Portfolio,Multifamily Finance Program,12/18/2014,12/17/2015,668,8,676,676,0,Bronx Preservation Housing Development Fund Corporation,Chateau GC LLC,No,No
21182,52722,Our Lady of Lourdes,Multifamily Finance Program,08/18/2015,06/29/2018,76,0,76,76,0,Our Lady of Lourdes Apartments LLC,JOBCO INC,No,No
21238,52723,Prospect Plaza - Site 2,Multifamily Finance Program,12/29/2014,01/18/2017,149,0,149,149,0,Oceanhill II LLC,"Mega Contracting, Inc.",Yes,No
21325,52728,SCATTERED SITES LP.YR15.FY22,Multifamily Finance Program,05/20/2022,,55,0,55,55,0,CLOTH SCATTERED SITES HOUSING DEVELOPMENT FUND CORPORATION,HORIZON CONSTRUCTION INC,No,No
21177,52733,HCCI 2,Multifamily Finance Program,12/04/2014,07/12/2017,399,0,399,399,18504,Northern Manhattan Equities LLC,"Erin Construction and Development Co., Inc",No,No
21270,52735,HELP DUMONT LLC.YR15.FY17,Multifamily Finance Program,03/22/2017,01/31/2018,150,0,150,150,0,HELP DUMONT LLC,A.A.D. CONSTRUCTION CORP,No,No
21408,52737,FAC RENAISSANCE HDFC,Multifamily Finance Program,06/15/2016,03/13/2020,82,0,82,82,9269,FAC RENAISSANCE HOUSING DEVELOPMENT,Avante Contracting Corp.,No,No
21329,52752,Urban Strategies Apts,Multifamily Finance Program,06/26/2015,11/15/2018,126,0,126,126,6148,US MCLEOD HOUSING DEVELOPMENT FUND,"Shamas Contracting Co., Inc.",No,No
21444,52757,BEC Phase 1,Multifamily Finance Program,10/07/2015,03/26/2019,212,0,212,212,3097,SKIPP TO MY LILLY LLC,BRISA BUILDERS CORP,No,No
21458,52758,CSH,Multifamily Finance Program,12/30/2015,,359,0,359,359,4329,CB CSH 2015 LLC,CBCS CONSTRUCTION CORP,No,No
21164,52774,JAMAICA CROSSING (HIGH-RISE),Multifamily Finance Program,12/22/2016,12/13/2021,539,0,539,539,37416,CJ PLAZA ONE LLC,BRP Construction Group LLC,No,No
21091,52775,JAMAICA CROSSING (MID-RISE),Multifamily Finance Program,12/22/2016,,130,0,130,130,0,CJ PLAZA TWO LLC,BRP Construction Group LLC,No,No
21173,52782,Pitkin Berriman,Multifamily Finance Program,10/30/2015,04/27/2018,60,0,60,60,7290,CYPRESS PITKIN BERRIMAN LP,DP Group General Contractors Developers Inc,No,No
21114,52783,ST. AUGUSTINE APARTMENTS,Multifamily Finance Program,08/13/2015,08/24/2018,112,0,112,112,0,ST AUGUSTINE APARTMENTS LLC,"Mega Contracting, Inc.",No,No
20987,52795,WIN. 21 WEST 118TH STREET,Multifamily Finance Program,11/02/2015,12/20/2017,35,0,35,35,0,Women In Need,J. Pilla Contracting,No,No
21354,52798,BRC. 233 LANDING ROAD,Multifamily Finance Program,06/30/2015,02/08/2018,136,0,136,136,0,BRC LANDING ROAD II LP,J. Pilla Contracting,No,No
21196,52816,220 EAST 7 STREET MANHATTAN - REPAIR & RESILIENCE,Sandy Program,10/07/2016,11/18/2020,0,0,,15,0,"Access House, Inc.",HORIZON CONSTRUCTION INC.,Yes,No
21239,52817,621 WATER STREET MANHATTAN - RESILIENCE,Sandy Program,10/07/2016,05/24/2019,0,0,,124,0,Gouverneur Court HDFC,HORIZON CONSTRUCTION INC.,Yes,No
21441,52827,2609 Briggs Realty LLC,Multifamily Finance Program,12/03/2015,11/27/2017,55,0,55,55,0,2609 BRIGGS REALTY LLC,R and S Construction Corp.,No,No
21366,52836,Sons Of Italy - Sandy Recovery,Sandy Program,09/30/2015,12/20/2016,0,0,,106,0,Horizion Construction,Horizion Construction,Yes,No
21396,52852,G&M Properties Phase II,Multifamily Finance Program,05/05/2015,10/02/2017,181,0,181,181,0,G &amp; M PROPERTIES II LP,HOMEBUILDERS I L P,No,No
21333,52888,2636 University LLC,Multifamily Finance Program,12/03/2015,05/07/2018,30,0,30,30,4000,2636 UNIVERSITY REALTY LLC,R and S Construction Corp.,No,No
21351,52893,PROSPECT PLAZA - SITE 3,Multifamily Finance Program,03/22/2016,05/04/2018,135,0,135,135,29098,OCEANHILL III LLC,"Mega Contracting, Inc.",No,No
21134,52937,Arker.34-11 Beach Channel Drive,Multifamily Finance Program,06/25/2015,08/20/2018,154,0,154,154,4500,ROCKAWAY SEAGIRT LIMITED,Chateau GC LLC,Yes,No
21375,52941,"Concourse Village, Inc. II",Multifamily Finance Program,12/28/2015,02/14/2020,0,0,,1872,0,CONCOURSE VILLAGE INC,NUS CONTRACTING CO,No,No
21261,52979,SUS. 1434 UNDERCLIFF AVE,Multifamily Finance Program,06/30/2016,12/06/2018,75,0,75,75,0,SUS UNDERCLIFF HOUSING DEVELOPMENT,J. Pilla Contracting,Yes,No
21206,52985,788 FOX STREET HDFC.HUDMF.FY17,Multifamily Finance Program,02/22/2017,01/11/2018,52,0,52,52,3420,788 FOX STREET HOUSING DEVELOPMENT FUND CORPORATION,A.A.D. CONSTRUCTION CORP,Yes,No
21125,52986,ESSIE  JEFFRIES APARTMENTS HDFC.HUDMF.FY18,Multifamily Finance Program,06/29/2018,06/27/2022,65,0,65,65,3835,ESSIE JEFFRIES APARTMENTS HOUSING DEVELOPMENT FUND CORPORATION,FG-PH Corporation,Yes,No
21406,52999,HANAC. 54-25 101 ST. CORONA SENIOR RESIDENCE,Multifamily Finance Program,08/05/2016,08/23/2018,68,0,68,68,0,HANAC CORONA RESIDENCE LLC,Bruno Frustaci Contracting Inc,Yes,No
21364,53010,BSDC 233 STUYVESANT AVE HDFC.PLP.FY18,Multifamily Finance Program,07/25/2018,06/18/2020,8,0,8,8,0,BSDC 233 STUYVESANT AVENUE HDFC,NOTIAS CONSTRUCTION INC,No,No
21490,53011,Sumpter Marcus LP II,Multifamily Finance Program,07/14/2015,05/22/2019,49,0,49,49,1200,Sumpter Marcus LP II,HNS CONSTRUCTION CORP,No,No
21456,53017,Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,06/27/2016,05/28/2019,27,83,110,110,0,NEHEMIAH SPRING CREEK AFFORDABLE,Monadnock Construction,No,No
21208,53077,"CLAYTON APARTMENTS, INC. 8-A LOAN",Multifamily Finance Program,12/30/2015,06/19/2017,0,161,161,161,700,"Clayton Apartments, Inc.",Aggressive Energy,No,No
21006,53157,MHANY 75,Multifamily Finance Program,10/27/2015,08/03/2018,255,0,255,255,500,Mutual Housing Association of New York,"Notias Construction, Inc.",No,No
21009,53180,COMPASS RESIDENCES 2A,Multifamily Finance Program,06/29/2015,07/31/2017,128,0,128,128,0,COMPASS TWO A LLC,Monadnock Construction,No,No
21145,53188,1890 Andrews Avenue,Multifamily Finance Program,12/14/2015,01/31/2019,56,0,56,56,3100,MORRIS HEIGHTS PRESERVATION L P,MDG Design & Construction,No,No
21280,53245,3160 Park Avenue (Low Income),Multifamily Finance Program,12/31/2014,12/15/2016,95,0,95,152,0,Trinity Park Ave Affordable LLC,"Mega Contracting, Inc.",No,No
21158,53264,SAM BURT HOUSES - RESILIENCY,Sandy Program,06/15/2017,05/04/2021,0,0,,148,0,ALPHA OMEGA BUILDING CORP,ALPHA OMEGA BUILDING CORP,Yes,No
21346,53273,3475 Third Avenue,Multifamily Finance Program,06/30/2015,04/25/2018,102,0,102,102,12964,3475 THIRD AVENUE OWNER REALTY LLC,Radson Development LLC,No,No
21224,53277,NAVY YARD HDFC INC. (8A),Multifamily Finance Program,12/30/2014,06/07/2019,0,159,159,159,0,Navy Yard HDFC Inc.,NO GENERAL CONTRACTOR,No,No
21455,53437,PRC Andrews Avenue,Multifamily Finance Program,06/19/2015,08/31/2016,248,0,248,248,3363,PRC ANDREWS AVENUE LLC,MELCARA CORPORATION,No,No
21193,53461,BEACH GREEN NORTH,Multifamily Finance Program,06/30/2015,08/30/2017,101,0,101,101,521,BEACH GREEN NORTH LLC,Banta Homes Corp.,No,No
21143,53473,Aquinas Deacon Juan Santos HDFC,Multifamily Finance Program,06/29/2015,06/03/2017,136,0,136,136,0,Aquinas Deacon Juan Santos LLC,MDG Design & Construction,No,No
21065,53551,Lower East Side - Inclusionary Zoning,Multifamily Finance Program,12/17/2015,11/21/2017,0,26,26,26,400,B&amp;N HOUSING LLC,B&amp;N CONTRACTORS LLC,No,No
21230,53580,530 EXTERIOR STREET (AKA E 149 ST A),Multifamily Finance Program,12/29/2015,05/25/2018,157,0,157,157,0,Ram Exterior LLC,Monadnock Construction,No,No
22748,53655,DREAMYARD NEP HDFC.YR15.FY2017,Multifamily Finance Program,06/27/2017,08/31/2021,301,0,301,301,8338,BPG PROPERTIES 1 LLC,HOMEBUILDERS I L P,No,No
22803,53680,SPRING CREEK PHASE 4B-2,Multifamily Finance Program,04/18/2019,12/22/2021,240,0,240,240,4615,SPRING CREEK 4B TWO LIHTC LLC,MONADNOCK CONSTRUCTION INC,No,No
22863,54360,SPRING CREEK PHASE 4B-1,Multifamily Finance Program,12/28/2017,12/26/2019,160,0,160,160,0,SPRING CREEK IV MIXED INCOME LLC,MONADNOCK CONSTRUCTION INC,No,No
22716,54377,CONFIDENTIAL,Multifamily Finance Program,06/29/2018,,50,0,50,50,0,FAC SUNSET PARK LP,Galaxy,No,No
22844,54407,2629 Sedgwick Avenue,Multifamily Finance Program,09/09/2015,05/02/2017,30,0,30,30,0,SEDGWICK AVENUE DIGNITY DEVELOPERS,"Erin Construction and Development Co., Inc",No,No
22616,54520,COMPASS 5,Multifamily Finance Program,04/05/2017,12/12/2019,218,0,218,218,4704,COMPASS V LLC,MONADNOCK CONSTRUCTION,No,No
22780,54577,1019 FULTON STREET,Multifamily Incentives Program,06/24/2019,,15,0,15,50,10142,AKERMAN LLP,TOUCHSTONE HOMES LLC,No,No
22884,54709,HCCI 2 Phase II,Multifamily Finance Program,06/30/2015,06/13/2016,207,0,207,207,6844,NME II HOUSING DEVELOPMENT FUND,"Erin Construction and Development Co., Inc",No,No
22762,54727,Bensonhurst Housing For The Elderly,Multifamily Finance Program,05/20/2015,03/22/2017,71,0,71,71,0,BENSONHURST HOUSING LP,"Notias Construction, Inc.",No,No
22681,54838,SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,11/01/2017,,0,23,23,26,0,RESTORING URBAN NEIGHBORHOODS LLC,EMPIREHD,No,No
22706,54842,Webster Commons Building D,Multifamily Finance Program,12/22/2015,10/15/2018,123,0,123,123,0,WEBSTER BUILDING D LLC,Joy Construction Corp.,No,No
22651,54909,LIVONIA PHASE II SITES 6-8,Multifamily Finance Program,06/30/2016,09/26/2019,242,0,242,242,28513,BRP L2 LLC,BRP Construction Group LLC,No,No
22656,54954,THE FREDERICK,Multifamily Finance Program,06/30/2017,11/05/2020,75,0,75,75,14343,2395 FDB DEVELOPMENT LLC,Summit JV LLC,No,No
